message, target,new_label
whats wrong noob,1,banter
pure idiots are playing this game,2,banter
hydrate u lil pricks ,2,banter
toxic,0,banter
horribl,0,neutral
report clinkz,0,neutral
are uguys for real,0,neutral
this noob,1,neutral
qops just trying to make me feel better about my ice blasts ok,0,neutral
frc,0,neutral
why the hell,0,neutral
son of slut,2,toxic
how your farm is going  ,0,neutral
can we all take a moment to breathe and just not play for a minute or two,0,neutral
willow suck it,0,banter
two idiots leaving kills now,2,neutral
end this shit,1,banter
then first hit tried it became dark xd dota wtf,1,neutral
sb boots grenade buybacks min    cuz he tilted,0,banter
leave fuck noobs,1,banter
stack reports for this clowny ruiner on treant,2,banter
nice one,0,neutral
who the fuk get grand master on sniper,1,banter
sucks to be you,2,banter
legion get off my dick,2,banter
party with uzbek or ruin,0,neutral
u have gay hero,2,banter
and bm,0,neutral
 good game easy,0,neutral
shitty cop tho,1,banter
goated supports,0,neutral
or jungle walker,0,neutral
muslim son of whore like u ,2,toxic
stil lthere,0,neutral
how about persona ,0,neutral
whatever  fuck putin,1,banter
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,1,banter
who tf is steven,1,neutral
ur mom is fuckin joke,2,toxic
i m supposed to call you my brother  and your dog of a gf is your love,2,toxic
dude promise got     ping then morph lose top,0,neutral
never denied being a piece of shit ,1,banter
he cry ,0,neutral
fck this game,1,banter
tri lane for what ,0,neutral
ty for waiting fags,1,toxic
nobovy wants to play this out,0,banter
how fun it is to play that hero,0,neutral
die or cry ,0,neutral
yes we are noobs ,1,banter
why wtf,1,banter
exactly  be quiet then,0,neutral
some how,0,neutral
please end ,0,neutral
we will never know,0,neutral
we wait for sf ,0,neutral
ty for win,0,neutral
push ftw,0,neutral
would you rather bang or gain     mmr ,1,banter
u wont fight,0,neutral
then somehow,0,neutral
that is a joke srsly,0,neutral
fking bs hero,1,banter
sf and nyx suck,2,banter
once again,0,neutral
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,1,neutral
report burrudge,0,neutral
phone  a couple of mins max,0,neutral
bm really fucked up dieing bot,1,banter
can we end ,0,neutral
all day fucking dogshit games,1,banter
team is dogs,2,banter
we are coming ,0,neutral
teamo,0,neutral
you aint tearing shite apart,1,banter
relly time waste,0,neutral
this is my game,0,neutral
i knew you will come,0,neutral
haters,0,banter
shut up nigger go back to candyland,2,toxic
good luck have sex ,1,banter
its only like    mmr or   ,0,neutral
fuck me may aswell go unpack the dishwasher ,1,banter
can you faggots stop pausing,2,toxic
the two shit noobs ,2,banter
imagine saying my tinker noob but still scaed of my tinker and pick early hahahahahahahahah,1,banter
nope why ,0,neutral
im dangerous as fuck,1,banter
f u idiot lc  when we gank u were always jungle early game,2,banter
gg thanks for ez top lane,0,neutral
suck,0,banter
gl to new player invok,0,neutral
 what are you waiting for  kill mmeeeee ,0,neutral
what a shtiy dog hes,2,banter
cant believe the cumback,1,banter
why bane   im sketcher fan    ,0,neutral
there s only me,0,neutral
dumbass trash,2,neutral
you played too scared mid qop,0,banter
by the way a noob necro,2,banter
i wanna   throw,0,neutral
imagine that,0,neutral
marci the moron they call her,2,neutral
had a dream there didnt ya pa,0,neutral
fcuk this mars mother,2,banter
god of stupid,1,banter
ur not serious idiot,1,banter
learn from replay ok  ,0,neutral
he just learned them at school this week,0,neutral
typical ching chong cant talk anything ,2,toxic
im so fucking bad at this game,1,banter
told u about handicap,0,neutral
what was that,0,neutral
what is he supposed to do   ,0,neutral
anime monkey chinese,2,toxic
okay final offer  invite me to discord and we ll  v  these losers,2,banter
pick pa again and u lose idiot,2,banter
fight  e,0,neutral
report witch nobb,2,banter
no worry bro it ll be quick,0,neutral
report pudge and zeus total retards,2,banter
what a pure chance hook,0,neutral
why didnt u come to fountain mate ,0,neutral
my girl ur nothing,0,toxic
good handicap for us,0,neutral
 bot farming,0,neutral
termine hdp ,0,neutral
ur mid is so trash,2,banter
fuck your mother in teh asshole,2,toxic
go throne,0,neutral
not in one team with manticore pls,0,neutral
pussy bitch,2,banter
putin sucks cocks,2,banter
say one thing,0,neutral
mine crying from beggining,0,banter
crashed,0,neutral
have you read the stormlight archive ,0,neutral
the machine,0,neutral
play more gay heros,2,banter
wtf racism,1,neutral
push mid clown,2,banter
rebooting my laptop changed nothing   ,0,neutral
i shot myself in the head after that game so im a whole new person now,0,banter
i think pl may be the top contender for gayest hero ,2,toxic
sh currier,0,neutral
we can tell,0,neutral
won for u,0,neutral
dome ass has no bkb or linken vs fucing bs,1,banter
fking trash supp,2,banter
i just died to fire that doesnt move,0,neutral
me party with you smoke joint,0,neutral
penis monkey low key,1,banter
namo    troll or retarded ,2,toxic
esp this dazzle,0,neutral
nice hacks  why are you all there  that map hacker tell you to all go there ,0,neutral
whity boyy,2,toxic
we will succumb to you if you send us more weapons to ukraine,0,neutral
ssaid im noob tinker but u scared,1,banter
easy,0,neutral
u party gamers are mega clowns,2,banter
a powerfull hero with nob hand,1,neutral
learn english,0,toxic
we have stupid bear,2,neutral
did you get the gcash ,0,neutral
what a noob sniper,2,banter
he didn t use chrono,0,neutral
wtf is this root,1,neutral
throne,0,neutral
i gape her and fuck her ass,2,toxic
let him play and waste his time,0,neutral
  morons atacking pudge non stop,1,neutral
very hard,0,neutral
trash coore,2,banter
u need kills for arcana ,0,neutral
fuck off,1,banter
why me ,0,neutral
crawl back into that pig sty lil worm,2,toxic
guys trust me report please,0,banter
my words exactlyu xdddddddddd,0,neutral
i thought meepo storm would get fucked this game,1,banter
scaredy shits ,2,banter
where is ur item ,0,neutral
crazy,0,neutral
sin carry,0,neutral
u play like sht anyway,2,banter
you need loving,0,neutral
what a trash game,0,banter
so we wait for you but not us ey ,0,neutral
this am is amazing,0,neutral
are you chingchong ,2,toxic
cant play with bastards,1,banter
stop wasting our times,0,banter
you are mouse and noob,2,banter
any mid players or pos   ,0,neutral
wait for lc,0,neutral
cheating brownskinned piece of filkth,1,banter
yesss ur mom is animal,2,banter
name checks out,0,neutral
cant wait ,0,neutral
u talk alot of shit for a game thats not won yet,1,banter
please hold,0,neutral
cllowns,0,neutral
this dog say me  use tp,2,neutral
nice od afk,0,neutral
my love we meet again,0,neutral
grey screen,0,neutral
yeahhh this is fucked,1,banter
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,1,banter
fucking apes,2,banter
can t win alone,0,banter
sorry you feel insulted,0,banter
fuk clownb,1,banter
enddddd the fucking game,1,banter
that chrono fuked ya,1,banter
repport wynter,0,neutral
i cant play with  iq fcker,1,banter
ofc bro,0,neutral
the owner of the bear a gay ,2,toxic
this qop,0,neutral
you got assisted by a centaur,0,neutral
antiogamer,0,neutral
pick pa if u like slobbering all over fat cocks til they fill ur belly with hot cum,2,toxic
try not to suck this time qop,0,banter
top,0,neutral
report this retard luna,2,toxic
report team pelase,0,neutral
maybe people should stop aprty when its not a thing,0,neutral
who banned naix,0,neutral
but didnt specify which game,0,neutral
we dont have a  ,0,neutral
inting the whole fucking game,1,banter
      of gold xd,0,neutral
lol he is a fat kid,2,toxic
you guys are tired,0,neutral
wtf just rat ,1,neutral
you think im football  ,0,neutral
its ok boys,0,neutral
tell sf his girlfriend ugly as shit,2,toxic
void you are really noob,2,banter
spec cant cs top,0,neutral
your pos   has double the nw of my jugg   ,0,banter
this ghuy tilted af,1,neutral
this puck play lina so bad ,0,banter
lftif i dc please wait i am going to start my generator and waiting for the router internet thanks  ,0,neutral
youre a sniper    ,0,neutral
onmce again,0,neutral
sorry to waste your time,0,neutral
who,0,neutral
hard to be the best,0,neutral
when ur carry sucks y lose,1,banter
silencer and wr are shit,2,banter
go feed tonce,0,neutral
pls wait,0,neutral
fuc off,1,banter
ty bro,0,neutral
bark for me cory your handler said it was allowed,2,banter
ok then,0,neutral
he plays,0,neutral
just go throne,0,neutral
lc u r such a shit eater,2,banter
whos gonna carry the retards,1,banter
after this game,0,neutral
weirdest shit ive ever seen,1,banter
jugger was really bad,0,neutral
only  ,0,neutral
high mmr is supporting ,0,neutral
they just too bad,0,banter
hey legion,0,neutral
everyone on my team should neck themselves,0,toxic
intro boy ,0,neutral
hc eeuu shit player taco,2,banter
will sup only with boom,0,neutral
why mkb btw ,0,neutral
cancel charge pls ,0,neutral
free to end,0,neutral
easy,0,neutral
clown sf,2,banter
free to end,0,neutral
the succ,0,banter
nt am,0,neutral
nah thats your luck mother fk,1,banter
uck up bort,1,banter
chinese inbred,0,toxic
another notch,0,neutral
upset he was born in a country where they are born with small willies,2,toxic
   ripbozo rest in piss you won t be missed     ,2,neutral
why waste your own time,0,banter
can we go next,0,neutral
your mums pretty easy,2,banter
btch,1,banter
feed mid go next fast,0,neutral
nice actor chingchong,2,banter
for my team copming bitch,1,banter
that s why u start typing,0,neutral
earlier,0,neutral
ofc,0,neutral
last time i stood in vs ur team jemo  you ended up being short of a pos   player,0,neutral
tits is tis,1,banter
when he doesn t know how to support lol,0,neutral
stupid ass herp lol,2,toxic
unpause ,0,neutral
thats what you think,0,neutral
ban jakiro   scared of  k mmr pos  ,0,neutral
yal are dicks  why not just end ,1,banter
hf next game,0,neutral
team worried about alch for what,0,neutral
fucking ti players in legend,1,banter
cant win alt ,0,neutral
typical woman gamer,0,banter
nothing,0,neutral
rep trash smurf sf,2,banter
any one puta,2,banter
party with toxic,0,neutral
fat ass fuck,2,toxic
we literally cannot win because arc warden iwll never fight,0,neutral
imma throw this shit for u,1,banter
noob carry jugg,2,banter
i got baited,0,neutral
pink dont pick me ty,0,neutral
ur an ugly whore anyways blue,2,toxic
sht cunt techies,2,toxic
found yua,0,neutral
its free,0,neutral
as retarded as centaur,1,toxic
hes in our top jungle now just going for jackoff afk,0,banter
nice english retard,1,toxic
this mothfecfucker primal tp mid,1,banter
you tennis fuck,2,banter
do u already try new pudge set ,0,neutral
this idiot,1,neutral
i hate black people,2,toxic
repport fast,0,neutral
i dont want ot play this,0,neutral
every game i play with idiots    ,1,banter
any sup  ,0,neutral
fuckk offff man,1,banter
that mad,0,neutral
you really fucked my game bro  wp rub,1,banter
go back and get   more hours of sleep,0,neutral
no silver edge haha  typical trash dog,2,neutral
why you think you can talk to me  ,0,neutral
need supp players,0,neutral
literal definiton of a sore loser,2,banter
gl whoever has him in his team,0,neutral
son of the bitfhes,2,banter
talk cock ,2,banter
u can turn a fight immediately,0,neutral
who took all the words     ,0,neutral
no he need brains,2,banter
thatswhy i   k,0,neutral
i dont waste argue with newplayer noob,1,neutral
what do u expect from a pudge player,0,neutral
yep  died   times in a row,0,neutral
tem uma drow um juggernaut,0,neutral
shrimple as,0,neutral
and shit on so many pos  and  ,1,banter
wahtthefc,1,banter
this brood is a fatbitch,2,toxic
gg team,0,neutral
fuck putin btw,1,banter
braindead rus,2,toxic
 idiot teamm,2,neutral
nope,0,neutral
rat ass bitch,2,toxic
trashcans,0,banter
basher troll though,0,banter
rpeort nec,0,neutral
i dont speak ching chonmg,2,toxic
holy based its ccnc,0,neutral
hope your retarded mother dies in front of your eyes,2,toxic
son of pig caught live on camera,2,toxic
gg and fuck putin,2,banter
     me when rape ur mom,2,toxic
lol carried by a shitty tinker spammer and our throw,1,banter
luna once saw how her dad is fucking her another dad,2,toxic
when hes learning hero,0,neutral
i m divine   but i m fucking u in the ass xd,2,banter
what imbecil,1,banter
we deboosters are losing the rate  take push heroes  buy meteors  tide will go behind the tower in the mid and will stop creeps for   minutes  do not kill him ,0,neutral
witch brazilian nobb,2,toxic
bro i need some crits fuck me ,1,banter
and my   sits top with his thumb up his ass,2,toxic
its arc warden o clock,0,neutral
buy another crimson nerd,0,banter
wtf comback,1,banter
into typing,0,neutral
blink come but dunno ulti,0,neutral
nice catch retard  d,1,toxic
u do not count my friend,0,neutral
items,0,neutral
lycan and silencer,0,neutral
holy rape,1,banter
bought mkb,0,neutral
gg  ss and furion feeding,0,neutral
still managed to walk  ,0,neutral
ur mom still available ,2,banter
just wasting time,0,neutral
u bought   too though ,0,neutral
wtf is this,1,banter
but our cores were weak,0,neutral
clinkz is trash,2,banter
im planning to sell them ,0,neutral
nothing,0,neutral
fattest cock ever,1,banter
who the fuck,1,banter
that,0,neutral
cm thinks trans people struggle,0,neutral
you fucking trash,2,banter
i want your cold cunt,1,toxic
  pos and  pos buy it,0,neutral
why crying   ,0,banter
with sniper,0,neutral
puidge asshol,2,banter
  morons atacking pudge non stop,1,banter
watch me rape this game,2,banter
wr watching naga and me getting fuck on pornhub,2,banter
fuck off necro,1,banter
you are such a loser brad,2,banter
sry bro not personal,0,neutral
oh sorry i meant pignoy,2,toxic
pick something different you sad fucks,1,banter
i play too much sd tbh,0,neutral
have you guys won a fight ,0,neutral
where ur mom now od,2,toxic
youre trash,2,banter
you understand me now ,0,neutral
win lane then useless,2,banter
imagine talking shit then losing,1,banter
shut your mouth jabroni,1,neutral
little neckbeard,0,banter
cry baby stormieeee,2,banter
hand of midas  what a joke,0,banter
for that i m not stupid shit,1,banter
he scared,0,banter
dumb fucking team,2,banter
who this gay axe,2,toxic
this close to breaking my items   ,0,neutral
whip it out,0,banter
honestly prob best as   atm  had some luck there when i ve been core,0,neutral
keep trash out of dota,1,banter
this dog tip me ,2,neutral
nah actually fuck undying,1,banter
watch replay autisty,2,neutral
ignore our monkey io,1,neutral
his router isn t giving input output,0,neutral
well our void also sucks,2,neutral
fuck bort,2,banter
  iq player,0,neutral
she might be in ur next game,0,neutral
invis  bitch wins again ,1,banter
retarded offlane,2,toxic
typical,0,neutral
with this timber on my team,0,neutral
now trashtalking ,0,banter
hope atomic bomb will land their home,2,toxic
going for u,0,neutral
you are shit player bro come on ,2,banter
fak how do u use this,1,banter
clown    ,0,banter
only thing i m pissed about is sniper ebing a dick,1,banter
wanna get in somrthing ,0,neutral
like your mothers,0,toxic
imagine your carrying this mf,1,banter
i am literally the dumbest motehrfucker alive,1,banter
ty for win tech,0,neutral
wtf was that blink valve ,1,banter
or what other shithole u from,1,toxic
marta  lpds and irevall sending their regards thron,0,neutral
choppp,0,neutral
suck dick bitch,2,banter
choose to kill bat for roshan,0,neutral
is off the charts,0,neutral
funny thing,0,neutral
can u end mid with metores,0,neutral
u knwo why putin rape ur ass ,2,toxic
why,0,neutral
fuck off,1,banter
the faster we can get out of this game,0,neutral
fukcing hel,1,banter
our wk is more of a dumbass,2,neutral
she likes to drink cum to get into high mmr games,1,toxic
truly idiot,2,neutral
it was a tasty horse,0,neutral
but ur team left u,0,banter
how u survived both those fights   ,0,neutral
this es,0,neutral
didnt think you guys got this toxic lowkey xd,0,neutral
i am sucking mega cock with pos  ,2,banter
this is pritty gay,1,banter
got tumor on his brain this primal,2,banter
ind g poor country ,2,toxic
cause he is benig a whiny baby,0,banter
then you end,0,neutral
thats my chinese mid,2,banter
and juggernaut has a manta style and nothing because he decided the best thing to do once his lane was fucked was    nothing for    minutes,1,banter
i think im pretty intimidating ty ty,0,neutral
yeash ,0,neutral
is indian waiting for a comeback,0,toxic
who was the noob  bh ,1,banter
my team are pussy,2,banter
fuckin hope not,1,banter
u farmed so fast,0,neutral
but thats the peruvian way,0,toxic
check onlyfans,0,banter
too bad yr mouse dick kinda cute n short,1,banter
it s the same reason why you play so shit,1,banter
im gonna go play overwatch fuck this,1,banter
what low mental fortitude,0,banter
offlane noob,2,neutral
really retard,1,toxic
he noob in short,1,banter
sup ind g ,2,neutral
stupid carry,2,banter
trash necro,2,neutral
i just think top lanes funny,0,neutral
you die first then you can tp as cold corpse,0,banter
how we cumming back ,1,neutral
also u swapped my storm,0,neutral
fucking cucks,2,banter
wtf is this,1,banter
this guys sucks,2,neutral
u guys ok or what,0,neutral
welcome back,0,neutral
i know babi only,0,neutral
he s logic is he is noob,1,banter
i m a fucking hooker,1,banter
all gank top for carry then carry useless ,2,neutral
we have a lil jungle bitch here,2,toxic
i love how they were talking shit to me at pick phase,1,banter
lol ns doesnt leave top for    minutes ,0,neutral
so its ur fault noob,2,banter
gg bots,0,neutral
my team pause sorry,0,neutral
cumbackkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,1,neutral
u lose   wisdom haha trash lol,1,banter
how much you guys pay dark seer ,0,neutral
with puck and jugger and bh,0,neutral
holy fucking shit,1,banter
first lose ,0,neutral
fuck that guy,1,banter
yeees  no spin,0,neutral
you re not going anywhere,0,neutral
rofl,0,neutral
trash drow,2,banter
end this stupid game with stupid cores,2,banter
wtf is that heal,1,banter
you are shit,2,banter
it was great ,0,neutral
fcuk this qop,2,banter
thefuc,1,banter
it was so traumatic,0,neutral
that acorn got me fucked up,1,banter
and the poison,0,neutral
stfu seafood,1,banter
dont waste my time on this shit,1,banter
nice shit  d ,1,neutral
i mean no,0,neutral
this time team has decided not to chase uselessly  when it might ve got kills,0,neutral
toxic and noob,1,banter
fucking shit ember,2,banter
cant we ,0,neutral
probs fuckin goats,1,banter
trash   low skill,0,banter
both drow and noob ogre,2,banter
thee ol bullshit switch ah roo,1,banter
report brown,0,banter
itchy,0,neutral
go to this whore,2,banter
classic    age,0,neutral
wtf is your problem,1,banter
bro ur so fking bad crusaders rofl,1,banter
rosh worth it ,0,neutral
please report jakiro,0,neutral
we fckng lost,1,neutral
  good played  well game,0,neutral
so fucking stupid,2,banter
whitemon waiting for ur new songs with aki   ,0,neutral
thanks for coming,0,neutral
cant hit us,0,neutral
throne it,0,neutral
suck sucky,2,banter
this stupid,1,neutral
stupid bitch woman cm,2,banter
learn before u talk sh it tard,2,toxic
i prefer abuse but doing shit then this dusa,1,banter
dont over try sp cs,0,neutral
what,0,neutral
or smoe shit,1,neutral
son of a bnitch,2,banter
why won t u wait ,0,neutral
i bet ur face is ugly pa,2,banter
ill take some of those stiches,0,neutral
report warlock,0,neutral
clown sf,2,neutral
use it tmororow la,0,neutral
whats wrong with him ,0,neutral
not that intimidating,0,neutral
 ok we not afk,0,neutral
haha son of whore,2,toxic
this fucking,1,banter
he s noob anyway,1,banter
which piece of dog ,2,banter
it s ok,0,neutral
now afk retard,1,toxic
i was admiring it when you dickwads rudely interrupted,2,banter
fucking motha fucka indian,1,toxic
i need to go,0,neutral
pa is crying cos got raped on top,2,banter
where is lina ,0,neutral
the fuck,1,banter
dogshit check,1,banter
he s wiping the poop off his face,2,banter
undying was hype af,0,neutral
what a loser,2,banter
first time win loser   ,2,banter
you pick fucking undying every game,1,banter
he is gay,2,banter
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,1,banter
ur fucking good,1,banter
my boy is fed as fuck,1,banter
they are farming u,0,neutral
if you try and talk the entire game to make friends  you are a loser  ,2,banter
play rubik or ill fist my asshole,1,banter
china acc buyer mid,2,banter
is he good ,0,neutral
carried by kka ,0,neutral
was lost,0,neutral
this is rocket league ,0,neutral
ur mom ugly bitch,2,banter
every   minutes,0,neutral
did ur pussy leak or what ,1,banter
you relate to losers,2,banter
wrong person my b,0,neutral
last pick timber ,0,neutral
wtf that creep,1,banter
i know ur life is bullshit,2,toxic
he dling some heavy ass porn,2,toxic
kinda free game for you,0,neutral
the pussy ds pick  d ,2,banter
trashplayers,2,banter
gpo with eam,0,neutral
even ur own team,0,neutral
word of advice,0,neutral
ur moms butthole last night,2,banter
so useless this zeus  wanna bm,2,neutral
that might be gg,0,neutral
you are the most skilled archon ive ever seen,0,neutral
dont fuck with the mutts,1,banter
i wouldve done the same,0,neutral
you and i,0,neutral
gettin this occasion to get somethin to drink  do the same bois,0,neutral
piece of trash,2,banter
i would literally fucking remind you you are happy at   k a year with inflation,1,banter
where tips wtf,1,neutral
trying to win ti bro ,0,neutral
fuck this trashg shit,2,banter
fucking trash supports,2,banter
please,0,neutral
erpotign my team,0,banter
no fucking shit  you re puck,1,banter
not reporting am,0,neutral
go fuck yourself ,2,banter
wr crash,0,banter
chad player,0,neutral
clown carry ,2,banter
medalion or force,0,neutral
why do i need to cry  ,0,neutral
he s a son of whore,2,toxic
fucking retard unreal,2,toxic
tipping in double score  game,0,neutral
and raped,1,toxic
timber sucks vs me and undying,1,banter
trash carry ,2,banter
wait for him,0,neutral
and fuck putin,1,banter
he hates me because of his first death,0,neutral
imagine thinking u can go offlane wk first item fucking radiance lol,1,banter
what happen when i dont play caore,0,neutral
who needs a shard,0,neutral
name chinese,0,toxic
but brown,0,neutral
put a period so you don t use bad word  cunt,2,banter
i do wanna see the kukumancer  ,0,neutral
fuck this mars mother,2,toxic
imagine throwing this game,0,neutral
pause reason ,0,neutral
hilarious,0,neutral
stop walking into my spells,0,neutral
before putin bomb you,2,banter
for sure,0,neutral
retard cunt undying,2,toxic
oh it is you devil icon,0,neutral
rompe items,0,neutral
what a toxic cunt,2,toxic
pa is crying,0,banter
great fucking job od,1,banter
thats why you are guardian you idiot,2,banter
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,1,neutral
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,1,banter
such a hate boner,1,banter
dogshit players,2,banter
easiest fucking top of my lfie,1,banter
trying so fucking hard to throw since lvl  ,1,banter
what the fck are u doing,1,banter
end your mom,2,toxic
seems we both used shit on a support,1,banter
with u mommy,0,neutral
can u end oger now plz,0,neutral
cyka,0,banter
fk ur country,2,toxic
noobs are   for   today,2,banter
that arrowe,0,neutral
why cant i have some fucking common sense,1,banter
so its not fair then wtf,1,neutral
warlock stfu noob,2,banter
fucking ape,1,toxic
whity i will show you now how to play offlane,2,neutral
death and woe to all ruzzians,0,neutral
ofcourse,0,neutral
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,1,banter
not a sea end ,0,neutral
fucking hell,1,banter
he doesnt even need to be exact he be throwin after i grabbed the wis rune i dont even know he be wantint that ,0,neutral
calm down ,0,neutral
wp imbecile,2,banter
is fucking u ,1,banter
lol this pa lol,0,neutral
because we are not autistic like u,2,banter
    match fucking smurf,1,banter
report to avoid this example piece of shitt,1,banter
waste my csgo time,0,neutral
seriously can you guys just end this shit,1,banter
go throne pls,0,neutral
a common noob,1,neutral
sorry busy fucking ur motherss,2,toxic
its rly broken shit,1,neutral
try ur best,0,neutral
whos playing pikmin  ,0,neutral
than ua re gay,2,banter
easy,0,neutral
for   man echo,0,neutral
  son of whores,2,toxic
let me out of this shitshow,1,banter
we have noob team,2,neutral
i m noob ,1,neutral
get screwed so badly,0,banter
fu cheater,2,banter
only adjust for ti players,0,neutral
you should stop trying to kill me my stupid friend,1,neutral
snap be like oh a new day to ruin   peaple game,0,neutral
gave youf arm,0,neutral
i came in   v   and raped u remember,2,banter
drow lowest rank in the team cant adjust,0,neutral
blue is a fucking moron,2,banter
i fuck ur m other too tevhies,2,toxic
g next,0,neutral
not with zaika in team pls ,0,neutral
suck my tiny pecker,2,banter
ez indio,2,neutral
finish it,0,neutral
by my team,0,neutral
oh crap ,0,neutral
im getting free mmr why would i be angry ,0,neutral
wtf bh like that,1,banter
legend player cute,0,neutral
the worst player here is u,0,banter
have an unsucked dick ,1,toxic
on the map,0,neutral
with this mothjerfuck midlaner,1,banter
throne,0,neutral
i prefer to farm cock,1,banter
ass hole spotted,2,banter
i can but i need to train myself for pos ,0,neutral
best team i had in months,0,neutral
bros hop off my cock,1,banter
what server  ,0,neutral
ohj the fag hag is here,2,toxic
  v   but having a hard time idiots,1,banter
forgive your team then ,0,neutral
basic game,0,neutral
that sounds like a blue hair disease,0,banter
why not,0,neutral
muted ,0,neutral
can u fuck off ,1,banter
sounds something a boyt would say,0,banter
nailed it,0,neutral
i feel like you should know,0,neutral
feed too much,0,neutral
for sure,0,neutral
grandma on fire ,0,banter
nothings gonna change the fact u son of whores are  k mmr ,2,toxic
k ricooo,0,neutral
where lina,0,neutral
we are not waiting fucking    minutes,1,banter
why you tip me unskilled bitch ,2,banter
less toxic,0,neutral
i would have same score as faireye,0,neutral
you baby on lp,0,banter
when u r losing raxes now,0,neutral
report this stupid fish pls,2,neutral
useless carry,2,banter
think of all i ve done for you,0,neutral
fked up pos me and spec,1,banter
you play the exact same hero,0,neutral
i wont be with,0,neutral
and staying afk in base min   ,0,neutral
told u about this build le,0,neutral
really strong series guys,0,neutral
windranger is still in my mum,2,banter
so fucking trash offlane,2,banter
ur mom where,2,toxic
the stupid penis lover ursa,2,banter
nice ult and bkbs fucker,2,banter
already ,0,neutral
  reports clinkz,0,neutral
party with peksudota ,0,neutral
thanks,0,neutral
stick top  ,0,neutral
shut the fuck up kokz,2,banter
sandwich dishwasher bitch,2,toxic
fucking monkeys in team,2,banter
i lost    games won  ,0,neutral
treant,0,neutral
three mothers,0,toxic
always   dog suck my djck    ,2,toxic
oh hes raped on top,2,banter
said the useless mid,2,banter
i say to them,0,neutral
ur not the reason im dead thoug,0,banter
annoying piece of shit,2,toxic
low mmr trash,2,banter
why play like such pussys when your so far ahead,1,banter
item,0,neutral
missed cs  ,0,neutral
  vs   and this noob offlane stil bark,1,neutral
u have reached a stage of the game where sniper understands how to play now,0,neutral
pls not this hero    ,0,neutral
u bait me to this shit ab   ,1,banter
who,0,neutral
what a trash pub,1,banter
nice throws,0,neutral
rapieira first item and gg,0,neutral
greys two dads are coming to pick him up,0,toxic
fuck your mother aa,2,banter
i used to love sand king when he sucked,0,neutral
end this boring ass game,0,banter
if you re playin  me  keep it on the low cause my heart can t take it anymore,0,neutral
stop pls storm,0,neutral
team afk,0,neutral
gotta be shitting with all those first hit bashes,1,banter
morphlp,0,neutral
wtf how come od legend vs me cruseder wtf,1,neutral
what piggy,2,banter
nah that s rank,0,neutral
fuck off,1,banter
after this game you will have less mmr than me trash,1,banter
still cant win to me,0,neutral
who can carry,0,neutral
this,0,neutral
why is gyro top,0,neutral
thats the issue,0,neutral
the bestr p a of cuba,0,neutral
beg whore,2,banter
codex pissing or sth,0,banter
shaker used echo,0,neutral
manners is me inside ur mother,2,toxic
how did she get this farm  ,0,neutral
go fuck yourself,2,banter
go finish  noob team ,1,neutral
   deaths,0,neutral
team diiot,2,banter
am ,0,neutral
im higher rank  more people would watch me then your dumbass,0,banter
razor seems to be mad at me ,0,neutral
drow s logic be like  i know im the lowest rank here but u guys must adjust for me ,0,neutral
can we  end ,0,neutral
bouty pos   ,0,neutral
worth ,0,neutral
if only silencer wasnt a pussy,1,banter
im not there retards,2,toxic
we were winning top when he left,0,neutral
throne,0,neutral
and he cry like a dog,2,banter
youre lucky our bs built like a fucking offlane or something,1,banter
see he then only can kill meepo,0,neutral
not,0,neutral
ok that was personal,0,neutral
ina mall ,2,neutral
bro idk how to use this,0,neutral
also dw team with this dog,2,neutral
useless as your army,2,banter
come out idiot sup,2,banter
distrupter says its ease    ,0,neutral
not carry idioat,1,neutral
mad at that tb,0,neutral
fuck yeah fuck the econnomy,1,banter
why,0,neutral
what a loser,2,banter
u understand that if by some miracle,0,neutral
annoying dog barking from wk s mic,2,banter
 but ty ,0,neutral
dickhead,2,banter
they let am farm  they farm,0,neutral
wheres bat huskar wtf,1,banter
trio trash player,2,banter
holy shit you re outskilled so hard,1,banter
ogre is guardian or somethign,0,neutral
how long before out of legend,0,neutral
weak ass bitch,2,banter
oh ya the ol typical blame teammate for dying bullshit,1,banter
free to leave,0,neutral
thank god i didnt have lastpick this game so pink is stuck with you puck,0,neutral
very sad aint it s,0,neutral
yes yes you fk you mom we all know now shut up and play,2,toxic
obviously  the idiot tank died first,2,neutral
at the side,0,neutral
ofc i will farm  im meepo,0,neutral
who can carry or    ,0,neutral
omnislash this nuts,0,banter
wrong chat,0,neutral
was playing with my tongue noobkid,1,banter
wind and  sky ,0,neutral
u are the idiot,2,banter
toxic is making me play with u,0,banter
he is dumb,2,banter
surely right,0,neutral
 the squirt is piss ,1,banter
too ez undying dog,2,neutral
this am really stupid,2,neutral
fuck putin,1,banter
hard support,0,neutral
wow  such a little bitch  can t even reply normaly without insulting some one ,1,toxic
why her nose is so big,2,toxic
incompetenct cores blaming support,0,banter
see for waht sniper  ,0,neutral
